method_key,method_label,method_family,country,is_ID,is_MY,is_PH,is_TH,bpc_type,is_beauty,cell,target_budget,selected_count,fill_rate,coverage_ratio,breadth_coverage,category_balance,creator_diversity,trending_ratio,virality_ratio,long_tail_coverage,n_hashtags_in_cell,n_hashtags_touched
M1,M1 Broad (Rank Position),Extract-all,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,1.7414017630539174,0.7887323943661971,0.9133307079671088,0.9131230775041774,1.0371578667887307,0.9929181715008157,0.0925,142,112
M2,M2 Narrow (Ranking),Extract-all,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,1.1483214896680896,0.7253521126760564,0.7186561143656414,0.9116725532017741,1.073594564538268,1.0032240508081987,0.04375,142,103
M3,M3 Top-K (Virality),Top-K per hashtag,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,2.1565661711967206,1.0,0.8643395519352054,0.925407636619744,0.9974818894332712,1.140764887618903,0.24625,142,142
M4,M4 Top-K (Trending),Top-K per hashtag,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,2.3033234560672966,1.0,0.8564777203798386,0.9213533908535828,1.0275834877224468,1.0467252586124594,0.24875,142,142
M5,M5 Top-K (Avg Score),Top-K per hashtag,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,2.207291118350235,1.0,0.8617497775648387,0.9244325052554658,1.0132250378132712,1.134740187809682,0.245,142,142
M7,M7 Random Baseline,Random,ID,True,False,False,False,BEAUTY,True,ID-Beauty,800,800,1.0,1.4316366417287472,0.852112676056338,0.8348658291973533,0.9271616979843211,0.9976378239457516,0.9937314225446525,0.225,142,121
M1,M1 Broad (Rank Position),Extract-all,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.11890867431817846,0.19838056680161945,0.6070014789522854,0.6640363085726559,1.058627568939823,1.1118112844903907,0.0,247,49
M2,M2 Narrow (Ranking),Extract-all,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.3332119007767055,0.23481781376518218,0.4222011908478146,0.5697763533113047,1.1471041405081839,1.130263717522926,0.0,247,58
M3,M3 Top-K (Virality),Top-K per hashtag,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.6050935235276288,0.9271255060728745,0.7755518253927268,0.7252432843745489,1.0330476806214632,1.341857779323661,0.075,247,229
M4,M4 Top-K (Trending),Top-K per hashtag,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.6289488049858014,0.97165991902834,0.7643965624779389,0.7256039373353942,1.0958087183570766,1.0931604676088111,0.08,247,240
M5,M5 Top-K (Avg Score),Top-K per hashtag,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.6370233303646736,0.9473684210526315,0.7727213720685194,0.7233322554606423,1.0742482208071333,1.3104483099813946,0.08,247,234
M7,M7 Random Baseline,Random,ID,True,False,False,False,NON BEAUTY,False,ID-NonBeauty,200,200,1.0,0.1552916045978772,0.46558704453441296,0.6670872834410249,0.7204657120897824,1.002413212082785,0.9944800926167023,0.03,247,115
M1,M1 Broad (Rank Position),Extract-all,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,1.9014942126814793,0.35294117647058826,0.6597221063806307,0.7622663161692349,1.1655787244914377,1.0183783635025863,0.0,153,54
M2,M2 Narrow (Ranking),Extract-all,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,2.3025659379628736,0.3333333333333333,0.3971824893282527,0.7615339229364851,1.18626595310224,1.049988806185968,0.0,153,51
M3,M3 Top-K (Virality),Top-K per hashtag,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,6.0505822581240745,1.0,0.7828065501577556,0.7834596900959047,1.047860151233889,1.3537735793824675,0.2397003745318352,153,153
M4,M4 Top-K (Trending),Top-K per hashtag,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,6.02480909966518,1.0,0.7817572906225877,0.7805301171649056,1.150255852352542,1.0956063754263177,0.21348314606741572,153,153
M5,M5 Top-K (Avg Score),Top-K per hashtag,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,6.76070570622998,1.0,0.7923375922787592,0.7834596900959047,1.0898899517524387,1.3277842937721105,0.22846441947565543,153,153
M7,M7 Random Baseline,Random,MY,False,True,False,False,BEAUTY,True,MY-Beauty,267,267,1.0,1.5311261965998988,0.5947712418300654,0.6167871234102572,0.7817184663813691,0.9935139504026378,1.0338744799425341,0.31086142322097376,153,91
M1,M1 Broad (Rank Position),Extract-all,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,0.8737619921076702,0.04142011834319527,0.3712488251760588,0.6060084905619134,0.8467865324388186,1.037889837905974,0.0,169,7
M2,M2 Narrow (Ranking),Extract-all,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,0.8319913238686115,0.08875739644970414,-0.0,0.5807776301439012,1.1562920875575518,1.1635218673023813,0.0,169,15
M3,M3 Top-K (Virality),Top-K per hashtag,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,6.43391488229395,0.4437869822485207,0.7306182678292448,0.6090202518064762,1.0795503878209596,1.559960622785069,0.05970149253731343,169,75
M4,M4 Top-K (Trending),Top-K per hashtag,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,6.2774670824354635,0.4970414201183432,0.6918451771249694,0.6060084905619134,1.256862463648802,1.097938213210864,0.04477611940298507,169,84
M5,M5 Top-K (Avg Score),Top-K per hashtag,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,6.711484690332324,0.4911242603550296,0.7211826401210514,0.6090202518064762,1.1758672338339486,1.4961218870016193,0.04477611940298507,169,83
M7,M7 Random Baseline,Random,MY,False,True,False,False,NON BEAUTY,False,MY-NonBeauty,67,67,1.0,1.59525007811508,0.28994082840236685,0.6902691374826301,0.6090202518064762,0.9801603106519494,1.0314451545903929,0.08955223880597014,169,49
M1,M1 Broad (Rank Position),Extract-all,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,4.263699317210699,0.37142857142857144,0.9434079874024425,0.7683834411028722,1.152428962515231,1.0671144233884626,0.0,175,65
M2,M2 Narrow (Ranking),Extract-all,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,4.65992463006636,0.37142857142857144,0.9273225518895196,0.7703906701230333,1.2114804865363162,1.0996145716648895,0.0,175,65
M3,M3 Top-K (Virality),Top-K per hashtag,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,6.814750767279932,1.0,0.8577497489554412,0.7804125709598941,1.057021612653161,1.3042253677106421,0.16104868913857678,175,175
M4,M4 Top-K (Trending),Top-K per hashtag,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,6.491827866480331,1.0,0.8602705609264678,0.7753123252583577,1.1383417473261124,1.0722595651819358,0.15730337078651685,175,175
M5,M5 Top-K (Avg Score),Top-K per hashtag,PH,False,False,True,False,BEAUTY,True,PH-Beauty,267,267,1.0,6.873700446751055,1.0,0.8544347328160397,0.7796839644311031,1.098642626928165,1.257164912070496,0.149812734082397,175,175
